id,name,kind,camp,element,scale_stat,power,power_dynamic,rank,initiative,target,hits,applies_status,status_turns,def_pierce,crit_bonus,crit_dynamic,heal,lifesteal,revive,cleanse,self_taunt,charge_gain,charge_cost,rarity,lore_bonuses_applicable,design_note
bulwark,Bulwark,equippable,mag,,,0,,0.90,1.111,ally,1,warded,2,0,0,,,,,,,28,,common,"swift,lasting,surge,broad",Warded - x0.60 incoming.
blur,Blur,equippable,mag,,,0,,0.90,1.111,ally,1,blurred,3,0,0,,,,,,,28,,common,"swift,lasting,surge,broad",+0.20 evade.
quicken,Quicken,equippable,mag,,,0,,1.40,0.714,ally,1,hasted,3,0,0,,,,,,,28,,common,"swift,lasting,surge,broad",Hasted.
oath,Wayfarer's Oath,charge,atk,,,5.25,,1.80,0.556,foe,1,,,0,0.38,,,,,,,,100,rare,"swift,potent,piercing,keen,broad,thrifty",CHARGE - {{name}}. Single burst. Highest power in the game. Rare: power and crit bonus scaled up 25%.
ninefold,Ninefold Rain,charge,atk,,,0.60,,1.90,0.526,foe,9,,,0,0,,,,,,,,100,rare,"swift,potent,piercing,keen,broad,thrifty",CHARGE - Vey. Multi-hit random targeting. Rare: power scaled up 25%.
hearthlight,Hearthlight,charge,mag,,,3.00,,1.65,0.606,allAllies,1,,,0,0,,TRUE,,,1,,,100,rare,"swift,potent,keen,cleansing,thrifty",CHARGE - Ansa. Party heal + cleanse. Rare: power scaled up 25%.
vowofstone,Vow of Stone,charge,atk,,,0,,1.55,0.645,allAllies,1,warded,3,0,0,,,,,,3,,100,rare,"swift,lasting,thrifty",CHARGE - Dorrek. Party buff + taunt. Rare: no power field to scale (buff-only).
ashfall,Ashfall,charge,mag,fire,,2.38,,2.00,0.500,allFoes,1,burning,3,0,0,,,,,,,,100,rare,"swift,potent,lasting,deepening,keen,thrifty",CHARGE - Mirel. AoE damage + DoT. Rare: power scaled up 25%.
bloodfury,Bloodfury,charge,atk,fire,,4.50,,1.70,0.588,foe,1,,,0,0.50,,,0.25,,,,,100,rare,"swift,potent,piercing,keen,broad,thrifty","CHARGE - Skarn (roster expansion). Big single-target hit, heavy crit bonus, partial lifesteal - a reckless crit-fisher that sustains itself. Rare: power and crit bonus scaled up 25%."
spellbrand,Spellbrand,charge,atk,water,,4.00,,1.60,0.625,foe,1,frail,3,0.25,0,,,,,,,,100,rare,"swift,potent,lasting,deepening,piercing,keen,broad,thrifty","CHARGE - Sorin (roster expansion). Armor-piercing blade strike that sears the target Frail - melee delivery, magic payload. Rare: power and defPierce scaled up 25%."
wardcurse,Warding Curse,charge,mag,dark,,0.81,,1.75,0.571,allFoes,1,enfeebled,4,0,0,,,,,,,,100,rare,"swift,potent,lasting,deepening,keen,thrifty",CHARGE - Nyra (roster expansion). Light AoE damage plus Enfeebled on every foe - shuts down enemy offense from the back line. Rare: power scaled up 25%.
aegisstep,Aegis Step,charge,mag,,,0,,1.45,0.690,self,1,blurred,3,0,0,,,,,,3,,100,rare,"swift,lasting,thrifty","CHARGE - Brenn (roster expansion). Self Blurred (+0.20 evade) plus self-taunt - draws every attack, then dodges most of them. The dodge-tank answer to Vow of Stone. Rare: no power field to scale (buff-only)."
quicksilver,Quicksilver Blessing,charge,mag,,,1.75,,1.55,0.645,allAllies,1,hasted,2,0,0,,TRUE,,,,,,100,rare,"swift,potent,lasting,cleansing,thrifty",CHARGE - Sael (roster expansion). Light party heal plus Hasted - trades raw healing for tempo. Rare: power scaled up 25%.
heavystrike,Heavy Strike,charge,atk,,,4.20,,1.80,0.556,foe,1,,,0,0,,,,,,,,100,common,"swift,potent,piercing,keen,broad,thrifty",CHARGE - MC generic starter (roadmap item 2). Bulk physical damage to one foe. No status/lifesteal/condition - the plain baseline pick.
wildfire,Wildfire,charge,mag,fire,,2.10,,2.00,0.500,allFoes,1,,,0,0,,,,,,,,100,common,"swift,potent,keen,thrifty",CHARGE - MC generic starter. Bulk magic damage to all foes. No status/lifesteal/condition - the plain baseline pick.
greatheal,Great Heal,charge,mag,,,2.60,,1.65,0.606,allAllies,1,,,0,0,,TRUE,,,,,,100,common,"swift,potent,cleansing,thrifty",CHARGE - MC generic starter. Heals the whole party. No status/lifesteal/condition - the plain baseline pick.
atk_reckless,Reckless Blow,charge,atk,,atk,5.25,,1.75,0.571,foe,1,,,0,0.38,,,,,,,,100,rare,"swift,potent,piercing,keen,broad,thrifty","CHARGE - MC rare charge drop (stat-scaling set). Scales off own ATK, not camp-implied MAG. Heavy single-target hit with a big crit bonus. Rare: power and crit bonus scaled up 25%."
mag_lance,Arcane Lance,charge,mag,air,mag,5.25,,1.75,0.571,foe,1,,,0.25,0,,,,,,,,100,rare,"swift,potent,keen,broad,thrifty",CHARGE - MC rare charge drop. Scales off own MAG. Piercing magic strike that ignores 20% armour. camp=mag so the Piercing Lore bonus is dead on it despite the built-in def_pierce. Rare: power and defPierce scaled up 25%.
def_slam,Shield Slam,charge,atk,earth,def,3.25,,1.90,0.526,foe,1,sundered,3,0,0,,,,,,,,100,rare,"swift,potent,lasting,deepening,piercing,keen,broad,thrifty",CHARGE - MC rare charge drop. Scales off own DEF instead of ATK/MAG. Shield bash that cracks the target's armour (Sundered) - a tank archetype that hits with its tank stat. Rare: power scaled up 25%.
res_strike,Warded Strike,charge,mag,water,res,3.75,,1.85,0.541,foe,1,,,0,0,,,0.20,,,,,100,rare,"swift,potent,keen,broad,thrifty",CHARGE - MC rare charge drop. Scales off own RES instead of MAG. Draining strike that heals 20% of the damage dealt. Rare: power scaled up 25%.
spd_flurry,Fleetstrike,charge,atk,,spd,0.56,,1.30,0.769,foe,2,,,0,0,,,,,,,,100,rare,"swift,potent,piercing,keen,broad,thrifty",CHARGE - MC rare charge drop. Scales off own SPD. Two quick hits; fires far more often than a normal charge action. Rare: power scaled up 25%.
atk_cry,Battle Cry,charge,atk,,atk,3.50,,1.70,0.588,allAllies,1,hasted,2,0,0,,TRUE,,,,,,100,rare,"swift,potent,lasting,cleansing,thrifty","CHARGE - MC rare charge drop. A rallying cry - heals the party (scaled by own ATK) and Hastes everyone. Rare: power scaled up 25%."
mag_font,Font of Power,charge,mag,,mag,3.50,,1.65,0.606,allAllies,1,warded,3,0,0,,TRUE,,,,,,100,rare,"swift,potent,lasting,cleansing,thrifty","CHARGE - MC rare charge drop. A MAG-scaled party heal that also grants Warded. Rare: power scaled up 25%."
def_bulwark,Bulwark Stand,charge,atk,,def,2.19,,1.80,0.556,ally,1,bracing,3,0,0,,TRUE,,,,,,100,rare,"swift,potent,lasting,broad,cleansing,thrifty","CHARGE - MC rare charge drop. Shields one ally - heal scaled by own DEF, plus Bracing. Rare: power scaled up 25%."
res_ward,Calming Ward,charge,mag,,res,2.44,,1.75,0.571,allAllies,1,,,0,0,,TRUE,,,1,,,100,rare,"swift,potent,cleansing,thrifty","CHARGE - MC rare charge drop. A RES-scaled party heal that also cleanses one debuff per ally. Rare: power scaled up 25%."
spd_fleet,Fleet Step,charge,mag,,spd,0.75,,1.50,0.667,allAllies,1,hasted,2,0,0,,TRUE,,,,,,100,rare,"swift,potent,lasting,cleansing,thrifty","CHARGE - MC rare charge drop. A SPD-scaled party heal plus Hasted - a courier's trick, not a caster's. Rare: power scaled up 25%."
tideturn,Tideturn,charge,mag,,,0,,1.50,0.667,allAllies,1,hasted,3,0,0,,,,,,,,100,rare,"swift,lasting,thrifty",CHARGE - RESOURCE/TEMPO. Buys turns deals nothing. Rare: no power field to scale (buff-only).
lastlight,Last Light,charge,mag,,,0,,1.70,0.588,deadAlly,1,,,0,0,,,,0.80,,,,100,rare,"swift,thrifty",CHARGE - REVIVE at 80%. Only full recovery in the game. Rare: no power field to scale (revive-only).
sunder,Sundering Vow,charge,atk,,,0.69,,1.60,0.625,allFoes,1,sundered,4,0,0,,,,,,,,100,rare,"swift,potent,lasting,deepening,piercing,keen,thrifty",CHARGE - DEBUFF-first. Light damage strips DEF from everything. Rare: power scaled up 25%.
gravewind,Gravewind,charge,mag,air,,0.88,,1.75,0.571,allFoes,1,slowed,4,0,0,,,,,,,,100,rare,"swift,potent,lasting,deepening,keen,thrifty",CHARGE - TEMPO DENIAL. Slows every foe. Rare: power scaled up 25%.
reckoning,Reckoning,charge,atk,,,1.55,2.0 at full HP rising to 6.5 on a near-dead target,1.90,0.526,foe,1,,,0,0,,,,,,,,100,legendary,"swift,potent,piercing,keen,broad,thrifty",CHARGE - CONDITIONAL on target HP. Legendary: power scaled up 55% (the CSV power field is cosmetic here - actual damage is hardcoded in ACTION_DYNAMIC.reckoning in farroad-core.js, also scaled up 55% there).
bulwarkoath,Bulwark Oath,charge,mag,,,0,,1.45,0.690,allAllies,1,warded,4,0,0,,,,,,,,100,rare,"swift,lasting,thrifty",CHARGE - CHEAP/FREQUENT. Low rank fires often. Rare: no power field to scale (buff-only).
emberglut,Ember Glut,charge,mag,,,0,,0.90,1.111,self,1,surging,4,0,0,,,,,,,,100,rare,"swift,lasting,thrifty",CHARGE - RESOURCE. Doubles own charge rate to chain. Rare: no power field to scale (buff-only).
hollowtoll,Hollow Toll,charge,mag,dark,,2.09,,2.10,0.476,allFoes,1,,,0,0,,,0.60,,,,,100,legendary,"swift,potent,keen,thrifty",CHARGE - SUSTAIN-AoE. Heals caster 60% of total. Legendary: power scaled up 55%.
wardensmaul,Warden's Maul,enemy_charge,atk,,,3.10,,1.75,0.571,foe,1,,,0,0.10,,,,,,,,100,,,CHARGE - boss. Heavy single target.
sunderingroar,Sundering Roar,enemy_charge,atk,,,0,,1.50,0.667,allAllies,1,enfeebled,3,0,0,,,,,,,,100,,,CHARGE - Stone Ox. Enfeebles the party.
quickenedhowl,Quickened Howl,enemy_charge,atk,,,0,,1.20,0.833,self,1,hasted,3,0,0,,,,,,,,100,,,CHARGE - Mire Hound. Hastes itself.
bite,Bite,enemy_basic,atk,,,1.00,,1.00,1.000,foe,1,,,0,0,,,,,,,19,,,,Enemy basic.
rake,Rake,enemy_basic,atk,,,0.85,,0.85,1.176,foe,1,,,0,0,,,,,,,16,,,,Enemy basic.
maul,Maul,enemy_basic,atk,,,1.45,,1.45,0.690,foe,1,,,0,0,,,,,,,26,,,,Enemy basic.
knitbone,Knit Bone,enemy_basic,mag,,,1.15,,1.20,0.833,ally,1,,,0,0,,TRUE,,,,,21,,,,Enemy basic heal.
wait,Wait,inert,atk,,,0,,1.00,1.000,self,1,,,0,0,,,,,,,0,,,,Inert fallback. Does nothing.
